Q,CC,MaxCC
0.904,79,904263
0.905,80,904713
0.906,83,906185
0.907,65,906922
0.908,72,908264
0.909,73,909133
0.91,54,909909
0.911,59,911101
0.912,63,912021
0.913,66,912720
0.914,63,913528
0.915,50,914773
0.916,41,915817
0.917,47,916849
0.918,48,918024
0.919,51,918587
0.92,42,919715
0.921,34,920666
0.922,34,922578
0.923,21,922821
0.924,47,923690
0.925,28,925319
0.926,31,925919
0.927,29,926549
0.928,28,927692
0.929,22,929368
0.93,27,929773
0.931,24,930970
0.932,21,931768
0.933,15,932788
0.934,20,933750
0.935,23,935162
0.936,16,935818
0.937,24,936799
0.938,13,937698
0.939,16,938688
0.94,12,939825
0.941,16,941209
0.942,7,942555
0.943,19,942937
0.944,6,944161
0.945,13,944809
0.946,9,945747
0.947,5,947260
0.948,8,947852
0.949,3,949048
0.95,17,949845
0.951,7,950562
0.952,4,951801
0.953,6,952967
0.954,5,953798
0.955,7,955050
0.956,4,956126
0.957,5,956966
0.958,4,957850
0.959,4,959217
0.96,6,959721
0.961,1,961409
0.962,2,961947
0.963,2,963270
0.964,4,964021
0.965,2,964564
0.966,2,966259
0.967,1,966692
0.968,2,968030
0.969,2,969208
0.97,3,970081
0.971,2,971062
0.972,3,972308
0.973,2,973245
0.974,2,974164
0.975,1,974942
0.976,1,976030
0.977,1,976798
0.978,1,977707
0.979,1,978796
0.98,1,980176
0.981,1,980757
0.982,1,982216
0.983,1,983009
0.984,2,983954
0.985,1,984874
0.986,1,985933
0.987,1,987096
0.988,1,987965
0.989,1,989126
0.99,1,990172
0.991,1,990940
0.992,1,992129
0.993,1,993081
0.994,1,994058
0.995,1,994945
0.996,1,995992
0.997,1,996968
0.998,1,997941
0.999,1,999009
1,1,1000000
